sample_index,player_url,expected_afltables_identity,child_status,base_outcome,population_outcome,population_reason,corrected_identity,recommended_disposition,visible_name,title_birth_year,retained_birth_year,retained_debut_season,retained_last_season,retained_career_games,draftguru_games,earliest_recruitment_year,earliest_recruitment_event_type,ledger_status,reason_codes,operator_verdict
1055,https://www.draftguru.com.au/players/dermot_mcnicholl/1,players/D/Dermot_McNicholl.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dermot McNicholl,1965,1965,1990,1990,3,3,1988,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1056,https://www.draftguru.com.au/players/dermott_brereton/1,players/D/Dermott_Brereton.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dermott Brereton,1964,1964,1982,1995,211,22,1993,Pre-Season,none,BIRTH_YEAR_CONSISTENT;DEBUT_BEFORE_EARLIEST_RECRUITMENT;SPAN_CONTAINS_EARLIEST_RECRUITMENT_YEAR;GAMES_INCONSISTENT;CLUB_HISTORY_OVERLAPS,
1057,https://www.draftguru.com.au/players/des_headland/1,players/D/Des_Headland.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Des Headland,1981,1981,1999,2010,166,166,1998,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1058,https://www.draftguru.com.au/players/deven_robertson/1,players/D/Deven_Robertson.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Deven Robertson,2001,2001,2020,2025,47,51,2019,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1059,https://www.draftguru.com.au/players/devon_smith/1,players/D/Devon_Smith.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Devon Smith,1993,1993,2012,2022,182,182,2011,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1060,https://www.draftguru.com.au/players/digby_morrell/1,players/D/Digby_Morrell.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Digby Morrell,1979,1979,2001,2005,72,72,2000,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1061,https://www.draftguru.com.au/players/dion_miles/1,players/D/Dion_Miles.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dion Miles,1978,1978,1998,1998,2,2,1997,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1062,https://www.draftguru.com.au/players/dion_myles/1,players/D/Dion_Myles.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dion Myles,1976,1976,1995,1997,8,8,1993,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1063,https://www.draftguru.com.au/players/dion_prestia/1,players/D/Dion_Prestia.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dion Prestia,1992,1992,2011,2025,237,254,2010,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1064,https://www.draftguru.com.au/players/dion_scott/1,players/D/Dion_Scott.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dion Scott,1970,1970,1990,1999,79,79,1988,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
