coach_path,display_name,born_raw,player_href,profile_path,games_coached,raw_sha256
coaches/Percy_Ogden.html,Percy Ogden,24-Feb-1886,../players/P/Percy_Ogden.html,players/P/Percy_Ogden.html,20,be38e95d4b4807b9c6d9eccf7c0cd46615adaf74815b9f5d1727ecbb90e8d428
coaches/Jack_Williams0.html,Jack Williams,31-Jan-1902,../players/J/Jack_Williams0.html,players/J/Jack_Williams0.html,20,72191103e48eccc300a6f084134241cbd58799a23194293acb198496d8b7fdf0
coaches/Billy_Orchard.html,Billy Orchard,9-Aug-1888,../players/B/Billy_Orchard.html,players/B/Billy_Orchard.html,19,f7bcac2e865ebd8f6bb5793a00659fa966942737ddf459155ca5d37f01a18040
coaches/Bernie_Quinlan.html,Bernie Quinlan,21-Jul-1951,../players/B/Bernie_Quinlan.html,players/B/Bernie_Quinlan.html,19,38fdc3d40f863b93818d54a10ca5a372b0ce14172a84ac8e5f39398c17516383
coaches/Tommy_Lahiff.html,Tommy Lahiff,31-Jul-1910,../players/T/Tommy_Lahiff.html,players/T/Tommy_Lahiff.html,19,78ea64b602c5a96390f77f2f414fa02e12a196c65ad9e0fa49bc687f99e8d102
coaches/Mick_Grace.html,Mick Grace,24-Jul-1874,../players/M/Mick_Grace.html,players/M/Mick_Grace.html,19,8b323633c47c279547489061136cd593981dd34c4473007a1d7ef0ec7b9233bc
coaches/Alan_Belcher.html,Alan Belcher,2-Dec-1884,../players/A/Alan_Belcher.html,players/A/Alan_Belcher.html,19,4396a53e07e7e735a6ec7535f643cd62817d558b51381592db600f4001728eaf
coaches/Jim_Crowe.html,Jim Crowe,18-May-1909,../players/J/Jim_Crowe.html,players/J/Jim_Crowe.html,19,ac3fcf03c380f5d181a6f58c66f3101cfb09beab4b594b14e9bd057df574fa77
coaches/Allan_Hopkins.html,Allan Hopkins,24-May-1904,../players/A/Allan_Hopkins.html,players/A/Allan_Hopkins.html,19,e9dc019c9d83f9bba78d4b62c63d6c3343851545cc002191e5f334de9521625e
coaches/Jim_Caldwell.html,Jim Caldwell,11-Aug-1888,../players/J/Jim_Caldwell.html,players/J/Jim_Caldwell.html,19,9b020a134c23d4545c6d59351b4ed68a3be24dbbbcd1c7346c0718c6d8577bc4
coaches/Harvey_Kelly.html,Harvey Kelly,24-Mar-1883,../players/H/Harvey_Kelly.html,players/H/Harvey_Kelly.html,19,783638c2362c422aa4aa45fc73cf879a37259ba9a7c2c744a690c6e144385eeb
coaches/Colin_Watson.html,Colin Watson,12-Oct-1900,../players/C/Colin_Watson.html,players/C/Colin_Watson.html,18,890b946e070ec18d5776794e383bbd53f0a171f866a410c446f253a4d02d625d
coaches/Col_Deane.html,Col Deane,11-Jul-1900,../players/C/Col_Deane.html,players/C/Col_Deane.html,18,c3dc555a43834f8afbca4685995d8c616d4cbdfeda987d3acb12db2dc3e749eb
