player_id,display_name,afltables_profile_url
1024,Ryan OKeefe,players/R/Ryan_OKeefe.html
1025,Tadhg Kennelly,players/T/Tadhg_Kennelly.html
1027,Brett Heady,players/B/Brett_Heady.html
1028,Dean Kemp,players/D/Dean_Kemp.html
1029,Chris Mainwaring,players/C/Chris_Mainwaring.html
1031,Drew Banfield,players/D/Drew_Banfield.html
1032,Guy McKenna,players/G/Guy_McKenna.html
1033,Peter Wilson,players/P/Peter_Wilson.html
1034,Ashley McIntosh,players/A/Ashley_McIntosh.html
1037,John Worsfold,players/J/John_Worsfold.html
1038,Glen Jakovich,players/G/Glen_Jakovich.html
1039,Chris Lewis,players/C/Chris_Lewis.html
1040,Peter Matera,players/P/Peter_Matera.html
1041,David Hart,players/D/David_Hart.html
1043,Ryan Turnbull,players/R/Ryan_Turnbull.html
1045,Don Pyke,players/D/Don_Pyke.html
1050,Chad Morrison,players/C/Chad_Morrison.html
1051,Ben Cousins,players/B/Ben_Cousins.html
1052,Phillip Matera,players/P/Phillip_Matera.html
1053,David Wirrpanda,players/D/David_Wirrpanda.html
1056,Michael Gardiner,players/M/Michael_Gardiner0.html
1058,Michael Braun,players/M/Michael_Braun.html
1061,Jaxon Crabb,players/J/Jaxon_Crabb.html
1063,Andrew Williams,players/A/Andrew_Williams.html
1064,Rowan Jones,players/R/Rowan_Jones.html
1065,Andrew Embley,players/A/Andrew_Embley.html
1067,Chad Fletcher,players/C/Chad_Fletcher.html
1068,Darren Glass,players/D/Darren_Glass.html
1077,Daniel Kerr,players/D/Daniel_Kerr.html
1079,Dean Cox,players/D/Dean_Cox.html
1083,Simon Black,players/S/Simon_Black.html
1084,Luke Power,players/L/Luke_Power.html
1086,Beau McDonald,players/B/Beau_McDonald.html
1087,Tim Notting,players/T/Tim_Notting.html
1089,Des Headland,players/D/Des_Headland.html
1090,Craig Bolton,players/C/Craig_Bolton.html
1092,Jonathan Brown,players/J/Jonathan_Brown.html
1096,Damian Cupido,players/D/Damian_Cupido.html
1097,Richard Hadley,players/R/Richard_Hadley.html
1098,Jamie Charman,players/J/Jamie_Charman.html
1099,Robert Copeland,players/R/Robert_Copeland.html
1100,Ashley McGrath,players/A/Ashley_McGrath.html
1103,Richard Cole,players/R/Richard_Cole.html
1104,David Rodan,players/D/David_Rodan.html
1105,Gary Ablett Jnr,players/G/Gary_Ablett1.html
1106,Jimmy Bartel,players/J/Jimmy_Bartel.html
1109,Paul Medhurst,players/P/Paul_Medhurst.html
1113,Ryan Hargrave,players/R/Ryan_Hargrave.html
1114,Jordan McMahon,players/J/Jordan_McMahon.html
1115,Graham Johncock,players/G/Graham_Johncock.html
