source_key,season,position,player,club,is_captain,is_vice_captain
22under22:2021:hb:2,2021,HB,Jordan Ridley,Essendon,0,0
22under22:2021:hb:3,2021,HB,Isaac Quaynor,Collingwood,0,0
22under22:2021:c:1,2021,C,Bailey Smith,Western Bulldogs,0,0
22under22:2021:c:2,2021,C,Sam Walsh,Carlton,1,0
22under22:2021:c:3,2021,C,Jack Lukosius,Gold Coast,0,0
22under22:2021:hf:1,2021,HF,Shai Bolton,Richmond,0,0
22under22:2021:hf:2,2021,HF,Aaron Naughton,Western Bulldogs,0,0
22under22:2021:hf:3,2021,HF,Zac Bailey,Brisbane Lions,0,0
22under22:2021:f:1,2021,F,Kysaiah Pickett,Melbourne,0,0
22under22:2021:f:2,2021,F,Ben King,Gold Coast,0,0
22under22:2021:f:3,2021,F,Max King,St Kilda,0,0
22under22:2021:r:1,2021,R,Luke Jackson,Melbourne,0,0
22under22:2021:r:2,2021,R,Andrew Brayshaw,Fremantle,0,1
22under22:2021:r:3,2021,R,Adam Cerra,Fremantle,0,0
22under22:2021:ic:1,2021,I/C,Jaidyn Stephenson,North Melbourne,0,0
22under22:2021:ic:2,2021,I/C,Oscar Allen,West Coast,0,0
22under22:2021:ic:3,2021,I/C,Tom McCartin,Sydney,0,0
22under22:2021:ic:4,2021,I/C,Trent Rivers,Melbourne,0,0
22under22:2022:b:1,2022,B,Hayden Young,Fremantle,0,0
22under22:2022:b:2,2022,B,Sam De Koning,Geelong,0,0
22under22:2022:b:3,2022,B,Nick Blakey,Sydney,0,0
22under22:2022:hb:1,2022,HB,Nick Daicos,Collingwood,0,0
22under22:2022:hb:2,2022,HB,Tom McCartin,Sydney,0,0
22under22:2022:hb:3,2022,HB,Jordan Clark,Fremantle,0,0
22under22:2022:c:1,2022,C,Noah Anderson,Gold Coast,0,0
22under22:2022:c:2,2022,C,Andrew Brayshaw,Fremantle,1,0
22under22:2022:c:3,2022,C,Adam Cerra,Carlton,0,0
22under22:2022:hf:1,2022,HF,Connor Rozee,Port Adelaide,0,0
